id,course_id,skill_level,skill_level_jp,purpose,purpose_jp,learn_info,learn_info_jp,outcome,outcome_jp,price,price_jp,price_hk,price_in_points,created_at,updated_at
11,3,Advanced,アドバンスド,"Build advanced residential interior design skills through more complex planning, detailed material selection, lighting strategies, space optimization, and coordination between different rooms. The level focuses on developing cohesive interior concepts that respond to both functional and visual requirements.",より複雑な計画、詳細な材料選択、照明戦略、空間最適化、および異なる部屋間の調整を通じて、高度な住宅インテリアデザインのスキルを構築します。 レベルは機能および視覚条件に答える凝集の内部の概念の開発に焦点を合わせる。,"Learn advanced residential interior design through complex space planning, detailed material selection, lighting strategies, furniture coordination, storage planning, and development of cohesive interior concepts. Learners study how multiple rooms can be designed as one connected environment while still responding to the specific function of each space. The level covers more detailed client requirements, spatial limitations, circulation challenges, custom furniture considerations, and relationships between materials and lighting. Learners work on larger residential projects where several design decisions must be coordinated at the same time. They also develop stronger presentation methods through floor plans, elevations, material boards, furniture selections, and visual concepts. The focus is on producing refined residential interiors that balance functionality, comfort, visual quality, and the needs of the people using the space.",,"Learners will be able to design detailed residential interiors with coordinated layouts, materials, lighting, furniture, storage, and architectural elements while responding to more complex client and spatial requirements.",学習者はより複雑な顧客および空間的な条件に答えている間調整されたレイアウト、材料、照明、家具、貯蔵および建築要素の詳しい住宅の内部を設計,674,674,674,674,NULL,NULL
12,3,Expert,専門家,"Develop expert-level ability to create complete residential design directions for complex projects, balancing client needs, spatial limitations, aesthetics, functionality, materials, and long-term use. The level prepares learners to make professional design decisions and develop distinctive residential interiors.",複雑なプロジェクトのための完全な住宅の設計方向を作成する専門家レベルの機能を開発し、顧客の必要性、空間的な限定、美学、機能性、材料および長期使用のバランスをとる。 レベルは、プロの設計上の決定を行い、独特の住宅のインテリアを開発するために学習者を準備します。,"Learn how to develop complete residential design directions for complex projects while balancing client requirements, spatial limitations, lifestyle, functionality, materials, lighting, furniture, and visual identity. Learners study advanced approaches to creating distinctive interiors that are practical as well as visually consistent. Topics include complex space planning, custom elements, detailed material relationships, lighting concepts, transitions between rooms, storage solutions, and integration of architectural features. Learners work with demanding project conditions and make independent decisions about priorities, atmosphere, proportion, and long-term usability. Expert-level work focuses on developing a complete residential design language from the initial concept through detailed planning and presentation. Learners also refine their ability to communicate and defend design decisions through professional documentation and project presentations.",,"Learners will be able to develop complete residential design directions for complex projects, balancing client needs, functionality, spatial limitations, materials, lighting, furniture, comfort, and visual identity.",学習者は、クライアントのニーズ、機能性、空間的制限、材料、照明、家具、快適さ、および視覚的アイデンティティのバランスをとりながら、複雑なプロジェクトのための完全な住宅設計の方向性を開発することができます。,1087,1087,1087,1087,NULL,NULL
13,4,Beginner,ビギナー,"Understand the basic principles of 3D architectural visualization, including digital modeling, materials, textures, lighting, cameras, composition, and simple rendering. The level introduces learners to how architectural drawings and ideas can be transformed into understandable three-dimensional visuals.",基本原則を理解するとともに3Dの建築の可視化を含むデジタルモデリング、素材の質感、照明、カメラの構成と簡単なレンダリング のレベルを紹介す学習者はどのように建築図面やアイディア化することができや立体化します。,"Learn the basic principles of 3D architectural visualization, including digital modeling, simple materials, textures, lighting, cameras, composition, and rendering. Learners study how architectural plans and design ideas can be transformed into basic three-dimensional spaces. The level introduces the main stages of a visualization workflow, from creating simple geometry to applying materials and setting up a camera. Learners explore how scale, proportions, and accurate dimensions affect the quality of a model. They also study basic lighting and composition so that the final image clearly communicates the intended space. Simple practice projects help learners become familiar with the process of building and presenting architectural or interior scenes while developing an understanding of how digital visualization supports design communication.",,"Learners will be able to create basic 3D architectural models and visualizations using simple modeling, materials, textures, lighting, camera settings, composition, and rendering techniques.",学習者は、シンプルなモデリング、マテリアル、テクスチャ、ライティング、カメラ設定、コンポジション、レンダリング技術を使用して、基本的な3D建築モデルとビジュアライゼーションを作成することができます。,214,214,214,214,NULL,NULL
14,4,Intermediate,中級,"Develop the ability to create organized 3D models and visual presentations of architectural and interior spaces using appropriate modeling, materials, lighting, camera positions, and composition. The level focuses on producing clear visuals that communicate design ideas effectively.",開発の能力を組織3次元モデルとビューの建築及び室内空間に適切なモデリング、材料、照明、カメラ位置します。 のレベルを製造明確なビジュアルに伝えるデザインアイデアを効果的に,"Learn how to create organized 3D models and architectural visualizations using more detailed modeling, materials, textures, lighting, camera positioning, and composition. Learners study how to build interior and exterior scenes accurately from architectural information and how to present spaces in a clear visual format. The level introduces more detailed material setup, natural and artificial lighting, camera framing, scene organization, and basic rendering refinement. Learners also explore how visualization choices can support the original design instead of changing its intended appearance. Project work helps learners create complete scenes that can be used for design reviews, client presentations, portfolios, and project communication. The focus is on improving accuracy, visual quality, organization, and consistency throughout the visualization process.",,"Learners will be able to create organized 3D architectural visualizations with accurate models, suitable materials, lighting, camera positions, composition, and clear presentation for design communication.",学習者は、正確なモデル、適切な材料、照明、カメラの位置、構成、およびデザインコミュニケーションのための明確なプレゼンテーションを使用して、組織化された3D建築ビジュアライゼーションを作成することができます。,453,453,453,453,NULL,NULL
15,4,Advanced,アドバンスド,"Build advanced visualization skills by developing detailed models, realistic materials, lighting setups, camera compositions, and polished architectural presentations. Learners work with more complex spaces and learn how to improve visual quality while maintaining accuracy to the original design.",詳細なモデル、リアルな素材、照明設定、カメラ構成、洗練された建築プレゼンテーションを開発することにより、高度なビジュアライゼーションスキルを構築します。 学習者は、より複雑な空間で作業し、元のデザインの精度を維持しながら、視覚的な品質を向上させる方法を学びます。,"Learn advanced architectural visualization methods for creating detailed and polished digital scenes. Learners study complex modeling, realistic or presentation-focused materials, advanced lighting, camera composition, environmental details, and rendering refinement. The level focuses on improving the visual quality of architectural images while maintaining accuracy to the original plans and design concepts. Learners explore how lighting, materials, atmosphere, depth, scale, and composition can influence how a building or interior is perceived. They also work with more demanding projects that require several viewpoints and consistent visual treatment. Practical work includes scene preparation, material refinement, lighting adjustments, image composition, and final presentation. The goal is to help learners produce professional-quality visualizations that communicate architectural ideas clearly and convincingly.",,"Learners will be able to produce detailed architectural visualizations using advanced modeling, materials, lighting, camera composition, environmental details, rendering, and professional presentation techniques.",学習者は、高度なモデリング、材料、照明、カメラ構成、環境の詳細、レンダリング、および専門的なプレゼンテーション技術を使用して、詳細な建築ビジュアライゼーションを生成することができます。,741,741,741,741,NULL,NULL
16,4,Expert,専門家,"Develop expert-level ability to produce highly refined architectural visualizations for professional presentations, portfolios, and client communication. The level focuses on advanced visual decision-making, detailed scene development, consistency, and the ability to translate complex design concepts into strong visual presentations.",専門の提示、有価証券および顧客コミュニケーションのための非常に精製された建築視覚化を作り出す専門家レベルの機能を開発しなさい。 レベルは、高度な視覚的意思決定、詳細なシーンの開発、一貫性、および強力な視覚的プレゼンテーションに複雑なデザインコンセプトを翻訳する能力に焦点を当てています。,"Learn expert-level approaches to architectural visualization by developing highly refined visual presentations for complex architecture and interior projects. Learners study advanced scene development, detailed modeling, material realism, lighting direction, camera storytelling, environmental elements, composition, and final image refinement. The level focuses on making high-level visual decisions while maintaining technical accuracy and consistency across an entire project. Learners explore how visualization can support client communication, marketing, presentations, competitions, and professional portfolios. Complex project work requires careful coordination of multiple views, materials, lighting conditions, and design details. Learners also develop their own visual approach while learning how to translate complex architectural concepts into polished images that communicate the intended atmosphere, function, scale, and design quality.",,"Learners will be able to create highly refined architectural visualizations for complex projects while maintaining technical accuracy, consistent visual quality, detailed scenes, strong composition, and clear design communication.",学習者は、技術的な精度、一貫した視覚的品質、詳細なシーン、強力な構成、明確なデザインコミュニケーションを維持しながら、複雑なプロジェクトのための高度に洗練された建築ビジュアライゼーションを作成することができます。,1012,1012,1012,1012,NULL,NULL
17,5,Beginner,ビギナー,"Understand the basic principles of landscape and garden design, including site planning, planting, pathways, seating, materials, sunlight, and the relationship between buildings and outdoor spaces. The level introduces learners to the main elements used to organize simple gardens and outdoor areas.",敷地計画、植栽、通路、座席、材料、日光、建物と屋外スペースの関係など、景観と庭園の設計の基本原則を理解します。 レベルは、単純な庭園や屋外エリアを整理するために使用される主な要素に学習者を紹介します。,"Learn the basic principles of landscape and garden design, including site planning, planting, pathways, seating, materials, water features, sunlight, and outdoor circulation. Learners study how gardens and landscape areas are organized around practical use, natural conditions, and visual balance. The level introduces basic plant selection, simple garden layouts, relationships between buildings and outdoor spaces, and the role of open areas in creating comfortable environments. Learners also explore how climate, soil, sunlight, and existing vegetation can influence design decisions. Simple exercises help learners understand how to divide an outdoor site into useful areas and arrange basic landscape elements. The focus is on developing clear and practical outdoor spaces while gaining familiarity with the main principles used in garden and landscape planning.",,"Learners will be able to create basic garden and landscape layouts using site conditions, planting, pathways, seating, materials, sunlight, circulation, and relationships between buildings and outdoor areas.",学習者は、敷地条件、植栽、経路、座席、材料、日光、循環、建物と屋外エリアの関係を使用して、基本的な庭と風景のレイアウトを作成することができます。,292,292,292,292,NULL,NULL
18,5,Intermediate,中級,"Develop the ability to plan functional gardens and landscape spaces by considering site conditions, user needs, planting, circulation, materials, climate, and relationships between indoor and outdoor areas. Learners begin developing complete landscape concepts for practical projects.",敷地条件、ユーザーのニーズ、植栽、循環、材料、気候、屋内と屋外の関係を考慮して、機能的な庭園や景観空間を計画する能力を開発します。 学習者は実用的なプロジェクトのための完全な景色の概念を開発し始める。,"Learn how to plan complete gardens and landscape spaces by considering site conditions, user requirements, planting, circulation, materials, climate, sunlight, and relationships with surrounding architecture. Learners study how different landscape elements can work together to create functional and visually balanced outdoor environments. The level introduces more detailed planting plans, pathway layouts, seating areas, material selection, garden zones, and transitions between indoor and outdoor spaces. Learners also explore how seasonal changes and maintenance requirements can influence plant and material choices. Practical projects help learners develop landscape concepts for residential gardens and other small outdoor spaces. The focus is on making independent planning decisions and creating outdoor environments that respond to both the natural setting and the needs of the people who use them.",,"Learners will be able to develop practical landscape concepts by considering user needs, planting, circulation, climate, sunlight, materials, site conditions, and connections between indoor and outdoor spaces.",学習者が実際の景観概念を考慮してユーザーニーズ、植栽循環、気候、太陽光、材料、サイトの状況、および接続屋内外空間です。,376,376,376,376,NULL,NULL
19,5,Advanced,アドバンスド,"Build advanced landscape design skills through more complex site planning, planting strategies, material selection, spatial organization, environmental conditions, and integration with architecture. The level focuses on creating cohesive outdoor environments with stronger design and functional relationships.",より複雑なサイト計画、植栽戦略、材料選択、空間構成、環境条件、および建築との統合を通じて、高度なランドスケープデザインスキルを構築します。 レベルはより強い設計および機能関係と凝集の屋外の環境の作成に焦点を合わせる。,"Learn advanced landscape and garden design through more complex site planning, planting strategies, spatial organization, materials, environmental conditions, and integration with architecture. Learners study how different outdoor areas can be connected through pathways, planting, level changes, views, seating, and carefully planned transitions. The level explores more detailed relationships between vegetation, climate, sunlight, soil, water, maintenance, and user experience. Learners work with larger or more demanding sites and develop complete landscape concepts that require several elements to be coordinated. They also examine how landscape design can improve the relationship between buildings and their natural surroundings. Project work focuses on developing detailed plans, material selections, planting concepts, visual references, and clear design presentations.",,"Learners will be able to develop detailed landscape concepts for complex sites using planting strategies, spatial organization, materials, environmental conditions, circulation, and integration with surrounding architecture.",学習者は、植栽戦略、空間構成、材料、環境条件、循環、および周囲の建築との統合を使用して、複雑なサイトの詳細な景観概念を開発することができます。,698,698,698,698,NULL,NULL
20,5,Expert,専門家,"Develop expert-level ability to create sophisticated landscape and garden concepts for complex sites while balancing environmental conditions, planting, architecture, user experience, maintenance, and visual identity. The level prepares learners to make high-level landscape design decisions and develop original outdoor spaces.",環境条件、植栽、建築、ユーザーエクスペリエンス、メンテナンス、および視覚的アイデンティティのバランスをとりながら、複雑なサイトの洗練された風景や庭の概念を作成するための専門家レベルの能力を開発します。 レベルは、高レベルのランドスケープデザインの決定を下し、オリジナルの屋外スペースを開発するために学習者を準備します。,"Learn expert-level approaches to landscape and garden design by developing sophisticated outdoor environments for complex sites. Learners study advanced relationships between architecture, planting, climate, terrain, materials, water, circulation, views, maintenance, and user experience. The level focuses on creating original landscape directions that respond to the character and requirements of a site rather than following a fixed style. Learners work with complex planning conditions and make independent decisions about planting strategies, spatial hierarchy, material quality, environmental response, and long-term usability. Expert projects also require strong coordination between landscape elements and architectural spaces. Learners develop professional-level documentation and presentations that communicate the complete landscape concept and demonstrate clear reasoning behind major design and environmental decisions.",,"Learners will be able to create sophisticated landscape and garden designs for complex sites while balancing planting, architecture, environment, terrain, maintenance, user experience, materials, and long-term functionality.",学習者は、植栽、建築、環境、地形、メンテナンス、ユーザーエクスペリエンス、材料、および長期的な機能のバランスをとりながら、複雑なサイトの洗練された風景や庭のデザインを作成することができます。,1065,1065,1065,1065,NULL,NULL
21,6,Beginner,ビギナー,"Understand the basic stages of fashion design and creative direction, including research, inspiration, mood boards, color, silhouettes, fabrics, styling, and collection planning. The level introduces learners to how individual creative ideas can be developed into simple fashion concepts.",リサーチ、インスピレーション、ムードボード、カラー、シルエット、ファブリック、スタイリング、コレクション計画など、ファッションデザインとクリエーティブディレクションの基本的な段階を理解します。 レベルは、個々の創造的なアイデアは、単純なファッションの概念に開発することができますどのように学習者を紹介します。,"Learn the basic process of fashion design and creative direction, including research, inspiration, mood boards, color palettes, silhouettes, fabrics, garment ideas, styling, and collection planning. Learners study how a simple fashion idea can develop into a clear visual concept. The level introduces basic fashion research methods and shows how references can be collected and organized before design development begins. Learners explore how colors, shapes, materials, and styling choices influence the overall appearance of a collection. Simple exercises help learners develop individual garment ideas and understand how several pieces can work together. The focus is on building a strong foundation in fashion design while learning how to communicate creative ideas through sketches, visual references, mood boards, and basic collection presentations.",,"Learners will be able to develop basic fashion concepts using research, inspiration, mood boards, color palettes, silhouettes, fabrics, garment ideas, styling, and simple collection planning.",学習者は、リサーチ、インスピレーション、ムードボード、カラーパレット、シルエット、ファブリック、衣服のアイデア、スタイリング、シンプルなコレクション計画を使用して、基本的なファッションコンセプトを開発することができます。,226,226,226,226,NULL,NULL
22,6,Intermediate,中級,"Develop the ability to turn research and inspiration into organized fashion collections by selecting suitable colors, materials, silhouettes, styling elements, and visual references. Learners begin making independent creative decisions and presenting a consistent fashion concept.",適切な色、素材、シルエット、スタイリング要素、および視覚的な参照を選択することにより、組織化されたファッションコレクションに研究とイン 学習者は、独立した創造的な意思決定を行い、一貫したファッションコンセプトを提示し始めます。,"Learn how to develop organized fashion collections by turning research and inspiration into connected garment concepts. Learners study silhouettes, color systems, fabric choices, garment details, styling, collection structure, and visual presentation. The level introduces methods for creating a consistent design direction across several garments while still allowing variation within the collection. Learners explore how target audiences, seasons, occasions, and cultural or visual references can influence design decisions. Practical projects involve developing mood boards, design sketches, material references, color palettes, and collection plans. Learners also study how to explain their creative choices and present a collection clearly. The focus is on moving from individual fashion ideas toward a complete and coherent collection with a clear identity and practical design direction.",,"Learners will be able to develop organized fashion collections by combining research, silhouettes, fabrics, colors, styling, garment concepts, audience requirements, and a consistent visual direction.",学習者は、研究、シルエット、生地、色、スタイリング、衣服の概念、観客の要件、一貫した視覚的な方向性を組み合わせることによって、組織化されたファッシ,445,445,445,445,NULL,NULL
